,"Page ID",Class,Abstract,ServiceType,TrajectID,Jaar,VlocaSessie,Draaiboek,Deliverable,Actoren,Organisatie,Organisaties,Standaard,Status,SmartCityDomein,SmartCityIndicator,Beleidsthema,Initiatief,InitiatiefLink,Website,VlocaTraject,SessieType,ArchitectuurComponent,ArchitectuurBouwlaag,TypeDeliverable,TypeNieuws,Datum,Tijd,Locatie,Versie
"File:Deliverable 15 image.png","1,615","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 2 image.jpg","1,354","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 3 image.png","1,356","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 4 image.png","1,358","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 5 image.png","1,360","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 6 image.jpg","1,362","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 7 image.png","1,364","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 8 image.png","1,366","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File:Deliverable 9 image.png","1,368","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverable/1,"1,337",Deliverable,,,,,,,,Overheden,,,,,,,,,,,"VlocaTraject:Lokale Open Data Economie (LODE)",,,,VLOCA-Model,,,,,V0.1
Deliverable/10,"1,347",Deliverable,,,,,,,,Overheden,,,,,,,,,,,"VlocaTraject:Slimme stadsdistributie",,,,VLOCA-Model,,,,,V0.1
Deliverable/12,"1,456",Deliverable,,,,,,,,"Kennisinstellingen,Overheden",,,,"Peer review",,,,,,,"VlocaTraject:Circulaire economie",,,,VLOCA-Model,,,,,V0.2
Deliverable/13,"1,577",Deliverable,,,,,,,,Overheden,,,,"In uitwerking",,,,,,,"VlocaTraject:Lokale Open Data Economie (LODE)",,,,VLOCA-Model,,,,,V0.2
Deliverable/14,"1,578",Deliverable,,,,,,,,Overheden,,,,"In uitwerking",,,,,,,"VlocaTraject:Het potentieel van urban mining voor de bouwsector",,,,VLOCA-Model,,,,,V0.2
Deliverable/15,"1,607",Deliverable,,,,,,,,,,,,,,,,,,,"VlocaTraject:Datagestuurde handelskern",,,,VLOCA-Model,,,,,V0.1
Deliverable/16,"1,738",Deliverable,,,,,,,,"Kennisinstellingen,Overheden",,,,"In uitwerking",,,,,,,"VlocaTraject:Slimme stadsdistributie",,,,Stakeholderanalyse,,,,,V0
Deliverable/17,"1,743",Deliverable,,,,,,,,,,,,"In uitwerking",,,,,,,"VlocaTraject:Slimme stadsdistributie",,,,TA-Tekening,,,,,V0
Deliverable/18,"1,745",Deliverable,,,,,,,,Overheden,,,,"In uitwerking",,,,,,,"VlocaTraject:Veelzijdige InfoSchermen voor Updates en Acties van Lokale Ondernemers (VISUALO)",,,,VLOCA-Model,,,,,V0.2
Deliverable/19,"1,771",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Mobiliteitsbudget voor burgers",,,,VLOCA-Donut,,,,,V0.2
Deliverable/2,"1,339",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Regionaal plugable incentiveringsplatform",,,,VLOCA-Model,,,,,V0.1
Deliverable/3,"1,340",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Smart Innovation Factory",,,,VLOCA-Model,,,,,V0.1
Deliverable/4,"1,341",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Mobiele Sensor Units",,,,VLOCA-Model,,,,,V0.1
Deliverable/5,"1,342",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Machine Learning as a Service (MLaaS)",,,,VLOCA-Model,,,,,V0.1
Deliverable/6,"1,343",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Veelzijdige InfoSchermen voor Updates en Acties van Lokale Ondernemers (VISUALO)",,,,VLOCA-Model,,,,,V0.1
Deliverable/7,"1,344",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Het potentieel van urban mining voor de bouwsector",,,,VLOCA-Model,,,,,V0.1
Deliverable/8,"1,345",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Slimme Markten",,,,VLOCA-Model,,,,,V0.1
Deliverable/9,"1,346",Deliverable,,,,,,,,Overheden,,,,"Peer review",,,,,,,"VlocaTraject:Mobiliteitsbudget voor burgers",,,,VLOCA-Donut,,,,,V0.1
VlocaTraject:DenCITY,"1,268",VlocaTraject,,Ondersteuning,,2020,,,,,"Stad Antwerpen,VMM",,,,"Smart Mobility,Smart Environment",,,,,,,,,,,,,,,
CoCreatieAanvraag:DenCITY,"1,042",CoCreatieAanvraag,,,,,,,,,,,,,"Smart Environment",,,,,,,,,,,,,,,
"Denmark IoT and Smart Cities",218,Organisatie,,,,,,,,,,,,,,,,,,Https://ditcom.au.dk/news/show/artikel/towards-a-reference-architecture-model-for-smart-cities-and-iot-in-denmark/,,,,,,,,,,
"Destination Earth","1,088",Organisatie,,,,,,,,,,,,,,,,,,Https://digital-strategy.ec.europa.eu/en/policies/destination-earth,,,,,,,,,,
Devices,"1,103",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Digital Europe Programme","1,133",Organisatie,,,,,,,,,,,,,,,,,,Https://digital-strategy.ec.europa.eu/en/activities/digital-programme,,,,,,,,,,
"Digital Twin Consortium","1,117",Organisatie,,,,,,,,,,,,,,,,,,Https://www.digitaltwinconsortium.org/,,,,,,,,,,
"Digital administration","1,204",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Digital twin",472,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Digitalisering volledige customer journey parkeren en GAS4 en GAS5","1,273",VlocaTraject,,Traject,,2022,,,,,"Stad Genk",,,"In opstart","Smart Government",,,"Gemeente zonder gemeentehuis",,,,,,,,,,,,
